Name,Web pages,Country,Domains,State Province
Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,['http://www.akfarmitseda.ac.id/'],Indonesia,['akfarmitseda.ac.id'],
Institut Sains & Teknologi Akprind,['http://www.akprind.ac.id/'],Indonesia,['akprind.ac.id'],
STMIK AMIKOM Yogyakarta,['http://www.amikom.ac.id/'],Indonesia,['amikom.ac.id'],
STIKES RS Anwar Medika,['http://www.stikesrsanwarmedika.ac.id/'],Indonesia,['stikesrsanwarmedika.ac.id'],
Universitas Katolik Indonesia Atma Jaya,['http://www.atmajaya.ac.id/'],Indonesia,['atmajaya.ac.id'],
Universitas Bakrie,['http://www.bakrie.ac.id/'],Indonesia,['bakrie.ac.id'],
Binus University,['http://www.binus.ac.id/'],Indonesia,['binus.ac.id'],
STIKES Bina Sehat PPNI Mojokerto,['http://www.stikes-ppni.ac.id/'],Indonesia,['stikes-ppni.ac.id'],
Universitas Bung Hatta,['http://www.bunghatta.ac.id/'],Indonesia,['bunghatta.ac.id'],
Universitas Dian Nuswantoro,['http://www.dinus.ac.id/'],Indonesia,['dinus.ac.id'],
Universitas Gunadarma,['http://www.gunadarma.ac.id/'],Indonesia,['gunadarma.ac.id'],
Universitas Ibn Chaldun Jakarta,['http://www.ibnuchaldun.ac.id/'],Indonesia,['ibnuchaldun.ac.id'],
Universitas Indonusa Esa Unggul,['http://www.indonusa.ac.id/'],Indonesia,['indonusa.ac.id'],
Bogor Agricultural University,['http://www.ipb.ac.id/'],Indonesia,['ipb.ac.id'],
Institut Sains dan Teknologi Al Kamal,['http://www.ista.ac.id/'],Indonesia,['ista.ac.id'],
Institut Teknologi Adhi Tama Surabaya,['http://www.itats.ac.id/'],Indonesia,['itats.ac.id'],
Institut Teknologi Bandung,['http://www.itb.ac.id/'],Indonesia,['itb.ac.id'],
Institut Teknologi Sepuluh Nopember,['http://www.its.ac.id/'],Indonesia,['its.ac.id'],
Universitas Janabadra,['http://www.janabadra.ac.id/'],Indonesia,['janabadra.ac.id'],
Universitas Jayabaya,['http://www.jayabaya.ac.id/'],Indonesia,['jayabaya.ac.id'],
Universitas Ma Chung,['http://www.machung.ac.id/'],Indonesia,['machung.ac.id'],
Universitas Maarif Hasyim Latif,['http://www.umaha.ac.id/'],Indonesia,['umaha.ac.id'],
Universitas Mahendradatta,['http://www.mahendradatta.org/'],Indonesia,['mahendradatta.org'],
Universitas Negeri Malang,['http://www.um.ac.id/'],Indonesia,['um.ac.id'],
Universitas Kristen Maranatha,['http://www.maranatha.edu/'],Indonesia,['maranatha.edu'],
Universitas Mercu Buana,['http://www.mercubuana.ac.id/'],Indonesia,['mercubuana.ac.id'],
Universitas Dr. R. Moestopo,['http://www.moestopo.ac.id/'],Indonesia,['moestopo.ac.id'],
Universitas Narotama,['http://www.narotama.ac.id/'],Indonesia,['narotama.ac.id'],
Universitas HKBP Nommensen,['http://www.nommensen.org/'],Indonesia,['nommensen.org'],
Universitas Pembangunan Panca Budi,['http://www.pancabudi.ac.id/'],Indonesia,['pancabudi.ac.id'],
Universitas Paramadina Mulya,['http://www.paramadina.ac.id/'],Indonesia,['paramadina.ac.id'],
Universitas Nasional Pasim,['http://www.pasim.ac.id/'],Indonesia,['pasim.ac.id'],
STIE Perbanas,['http://www.perbanas.ac.id/'],Indonesia,['perbanas.ac.id'],
Perbanas Institute,['http://perbanas.id/'],Indonesia,['perbanas.id'],
Universitas Kristen Petra,['http://www.petra.ac.id/'],Indonesia,['petra.ac.id'],
Prasetiya Mulya Business School,['http://www.pmbs.ac.id/'],Indonesia,['pmbs.ac.id'],
Politeknik Negeri Jakarta,['http://www.pnj.ac.id/'],Indonesia,['pnj.ac.id'],
Politeknik Negeri Lhokseumawe,['http://www.pnl.ac.id/'],Indonesia,['pnl.ac.id'],
Politeknik Negeri Bandung,['http://www.polban.ac.id/'],Indonesia,['polban.ac.id'],
Politeknik Negeri Semarang,['http://www.polines.ac.id/'],Indonesia,['polines.ac.id'],
Politeknik Negeri Padang,['http://www.polinpdg.ac.id/'],Indonesia,['polinpdg.ac.id'],
Politeknik Negeri Pontianak,['http://www.polnep.ac.id/'],Indonesia,['polnep.ac.id'],
Politeknik Negeri Malang,['http://www.poltek-malang.ac.id/'],Indonesia,['poltek-malang.ac.id'],
Politeknik Pos Indonesia,['http://www.poltekpos.ac.id/'],Indonesia,['poltekpos.ac.id'],
Politeknik Negeri Sambas,['http://www.poltesa.ac.id/'],Indonesia,['poltesa.ac.id'],
Universitas Putera Batam,['http://www.puterabatam.ac.id/'],Indonesia,['puterabatam.ac.id'],
Universitas Sarjanawiyata Tamansiswa,['http://www.sarjanawiyata.ac.id/'],Indonesia,['sarjanawiyata.ac.id'],
Swiss German University,['http://www.sgu.ac.id/'],Indonesia,['sgu.ac.id'],
STMIK Sinar Nusantara,['http://www.sinus.ac.id/'],Indonesia,['sinus.ac.id'],
Sekolah Tinggi Akuntansi Negara (STAN),['http://www.stan.ac.id/'],Indonesia,['stan.ac.id'],
Trisakti Institute of Tourism,['http://www.stptrisakti.ac.id/'],Indonesia,['stptrisakti.ac.id'],
Universitas Telkom,['http://www.telkomuniversity.ac.id/'],Indonesia,['telkomuniversity.ac.id'],
Universitas Klabat,['http://www.unklab.ac.id/'],Indonesia,['unklab.ac.id'],
Universitas Trisakti,['http://www.trisakti.ac.id/'],Indonesia,['trisakti.ac.id'],
Universitas Ahmad Dahlan,['http://www.uad.ac.id/'],Indonesia,['uad.ac.id'],
Universitas Atma Jaya Yogyakarta,['http://www.uajy.ac.id/'],Indonesia,['uajy.ac.id'],
Universitas Brawijaya,['http://www.ub.ac.id/'],Indonesia,['ub.ac.id'],
Universitas Surabaya,['http://www.ubaya.ac.id/'],Indonesia,['ubaya.ac.id'],
Universitas Bhayangkara Surabaya,['http://www.ubhara.ac.id/'],Indonesia,['ubhara.ac.id'],
Universitas Bhayangkara Jakarta Raya,['http://www.ubharajaya.ac.id/'],Indonesia,['ubharajaya.ac.id'],
Universitas Bunda Mulia Jakarta,['http://www.ubm.ac.id/'],Indonesia,['ubm.ac.id'],
Universitas Darma Agung,['http://www.uda.ac.id/'],Indonesia,['uda.ac.id'],
Universitas Gadjah Mada,['http://www.ugm.ac.id/'],Indonesia,['ugm.ac.id'],
Universitas Indonesia,['http://www.ui.ac.id/'],Indonesia,['ui.ac.id'],
Universitas Islam Indonesia,['http://www.uii.ac.id/'],Indonesia,['uii.ac.id'],
